#,report_id,user_name,report_address,report_type,report_company,report_date,report_validated
1,16,test2@gmail.com,"Mayaguez, PR",internet,Liberty,2023-03-30,false
2,17,test2@gmail.com,"Arecibo, PR",internet,Liberty,2023-03-30,false
3,18,test2@gmail.com,"Arecibo, PR",water,AAA,2023-03-30,false
4,19,test2@gmail.com,"San Juan, PR",water,AAA,2023-03-30,false
5,20,test2@gmail.com,"Las Marias, PR",water,AAA,2023-03-30,false
6,21,test2@gmail.com,"Cidra, PR",water,AAA,2023-03-30,false
7,22,test2@gmail.com,"Arecibo, PR",water,AAA,2023-04-10,false
8,23,test2@gmail.com,"San Juan, PR",internet,Claro,2023-04-10,false
9,24,test2@gmail.com,"Ponce, PR",internet,Claro,2023-04-10,false
10,106,test2@gmail.com,"Arecibo, PR",water,AAA,2023-04-27,false
11,107,test2@gmail.com,"Arecibo, PR",water,AAA,2023-04-27,false
12,108,test2@gmail.com,"Arecibo, PR",water,AAA,2023-04-27,false
13,109,test2@gmail.com,"Arecibo, PR",water,AAA,2023-04-27,false
14,110,test2@gmail.com,"Arecibo, PR",water,AAA,2023-04-27,false
15,111,test2@gmail.com,"Cataño, PR",internet,Liberty,2023-04-27,false
16,112,test2@gmail.com,"Cataño, PR",internet,Liberty,2023-04-27,false
17,118,test2@gmail.com,Hatillo,water,AAA,2023-04-27,false
18,126,test2@gmail.com,"Arecibo, PR",power,LUMA,2023-05-06,false
19,127,test2@gmail.com,"Arecibo, PR",water,AAA,2023-05-06,false
20,128,test2@gmail.com,"Hormigueros, PR",internet,Liberty,2023-05-06,false
21,129,test2@gmail.com,"Hormigueros, PR",internet,Liberty,2023-05-06,false
22,130,test2@gmail.com,"Hormigueros, PR",internet,Liberty,2023-05-06,false
23,131,test2@gmail.com,"Hormigueros, PR",internet,Liberty,2023-05-06,false
24,132,test2@gmail.com,"Hormigueros, PR",internet,Liberty,2023-05-06,false
25,133,test2@gmail.com,"Barceloneta, PR",water,AAA,2023-05-06,false
26,134,test2@gmail.com,"Hormigueros, PR",internet,Liberty,2023-05-06,false
27,135,test2@gmail.com,"Hormigueros, PR",internet,Liberty,2023-05-06,false
28,136,test2@gmail.com,"Hormigueros, PR",internet,Liberty,2023-05-06,false
29,137,test2@gmail.com,"Hormigueros, PR",internet,Liberty,2023-05-06,false
30,138,test2@gmail.com,"Hormigueros, PR",internet,Liberty,2023-05-06,false
31,146,test2@gmail.com,"Arecibo, PR",internet,Claro,2023-05-07,false
32,147,demo1@gmail.com,"Arecibo, PR",water,AAA,2023-05-07,false
33,164,test2@gmail.com,"Cataño, Puerto Rico",power,LUMA,2023-03-13,false
34,167,test2@gmail.com,"Trujillo Alto, Puerto Rico",water,AAA,2023-03-24,false
35,148,test2@gmail.com,"Las Marías, Puerto Rico",water,AAA,2023-03-25,false
36,168,test2@gmail.com,"Isabela, Puerto Rico",water,AAA,2023-04-21,false
37,174,test2@gmail.com,"Ceiba, Puerto Rico",water,AAA,2023-04-14,false
38,176,test2@gmail.com,"Orocovis, Puerto Rico",internet,AT&T,2023-04-16,false
39,177,test2@gmail.com,"Juana Diaz, Puerto Rico",power,LUMA,2023-04-25,false
40,181,test2@gmail.com,"Guayama, Puerto Rico",water,AAA,2023-04-06,false
41,182,test2@gmail.com,"Fajardo, Puerto Rico",internet,Claro,2023-04-28,false
42,185,test2@gmail.com,"San Lorenzo, Puerto Rico",internet,Liberty,2023-04-30,false
43,194,test2@gmail.com,"Arroyo, Puerto Rico",power,LUMA,2023-05-01,false
44,196,test2@gmail.com,"Añasco, Puerto Rico",power,LUMA,2023-05-02,false
45,199,demo@gmail.com,"Cabo Rojo, PR",water,AAA,2023-05-08,false
46,200,demo@gmail.com,"Cabo Rojo, PR",internet,Claro,2023-05-08,false
